cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
10152		稀有技能书-常规礼包9.99				9.99	107		15			1	8833					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	稀有技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	866	203													
10153		稀有技能书-常规礼包19.99				19.99	111		15			1	8834					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	稀有技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	865	204													
10154		稀有技能书-常规礼包29.99				29.99	112		15			1	8835					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	稀有技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	864	204													
10155		稀有技能书-常规礼包49.99				49.99	116		15			1	8836					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	稀有技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	863	205													
10156		稀有技能书-常规礼包99.99				99.99	115		15			1	8837					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	稀有技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	862	205													
10157		材料票-常规礼包4.99				4.99	105		15			1	8838					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	满满材料票	商会发行的材料贸易票据		200%	861	202													
10158		材料票-常规礼包9.99				9.99	107		15			1	8839					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	满满材料票	商会发行的材料贸易票据		200%	860	203													
10159		材料票-常规礼包19.99				19.99	111		15			1	8840					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	满满材料票	商会发行的材料贸易票据		200%	859	204													
10160		材料票-常规礼包29.99				29.99	112		15			1	8841					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	满满材料票	商会发行的材料贸易票据		200%	858	204													
10161		材料票-常规礼包49.99				49.99	116		15			1	8842					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	满满材料票	商会发行的材料贸易票据		200%	857	205													
10162		材料票-常规礼包99.99				99.99	115		15			1	8843					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	满满材料票	商会发行的材料贸易票据		200%	856	205													
10163		啤酒-常规礼包4.99				4.99	105		15			1	8844					1	6001	0	1						DK_icon_soldier_enhance_beer			DK_img_gift_bg_28	DK_img_gift_bg_8				演练加速	只要有了啤酒，水手们愿意为您做任何事情！		300%	855	202													
10164		啤酒-常规礼包9.99				9.99	107		15			1	8845					1	6001	0	1						DK_icon_soldier_enhance_beer			DK_img_gift_bg_28	DK_img_gift_bg_8				演练加速	只要有了啤酒，水手们愿意为您做任何事情！		300%	854	203													
10165		啤酒-常规礼包19.99				19.99	111		15			1	8846					1	6001	0	1						DK_icon_soldier_enhance_beer			DK_img_gift_bg_28	DK_img_gift_bg_8				演练加速	只要有了啤酒，水手们愿意为您做任何事情！		300%	853	204													
10166		啤酒-常规礼包29.99				29.99	112		15			1	8847					1	6001	0	1						DK_icon_soldier_enhance_beer			DK_img_gift_bg_28	DK_img_gift_bg_8				演练加速	只要有了啤酒，水手们愿意为您做任何事情！		300%	852	204													
10167		啤酒-常规礼包49.99				49.99	116		15			1	8848					1	6001	0	1						DK_icon_soldier_enhance_beer			DK_img_gift_bg_28	DK_img_gift_bg_8				演练加速	只要有了啤酒，水手们愿意为您做任何事情！		300%	851	205													
10168		啤酒-常规礼包99.99				99.99	115		15			1	8849					1	6001	0	1						DK_icon_soldier_enhance_beer			DK_img_gift_bg_28	DK_img_gift_bg_8				演练加速	只要有了啤酒，水手们愿意为您做任何事情！		300%	850	205													
10169		城建礼包-主城6	主界面推		260	2.99	103		1			1	9600	12	102616				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	6级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	260%	999	201			1				DK_img_Main_gift_bg_5						
10170		城建礼包-主城7	主界面推		260	2.99	103		1			1	9601	2	7				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	7级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	260%	999	201			1				DK_img_Main_gift_bg_5						
10171		城建礼包-主城8	主界面推		370	2.99	103		1			1	9602	2	8				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	8级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	370%	999	201			1				DK_img_Main_gift_bg_5						
10172		城建礼包-主城9	主界面推		360	4.99	105		1			1	9603	2	9				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	9级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	360%	999	202			1				DK_img_Main_gift_bg_5						
10173		城建礼包-主城10	主界面推		360	9.99	107		1			1	9604	2	10				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	10级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	360%	999	203			1				DK_img_Main_gift_bg_5						
10174		城建礼包-主城11	主界面推		410	12.99	108		1			1	9605	2	11				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	11级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	410%	999	203			1				DK_img_Main_gift_bg_5						
10175		城建礼包-主城12	主界面推		420	19.99	111		1			1	9606	2	12				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	12级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	420%	999	204			1				DK_img_Main_gift_bg_5						
10176		城建礼包-主城13	主界面推		420	29.99	112		1			1	9607	2	13				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	13级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	420%	999	204			1				DK_img_Main_gift_bg_5						
10177		城建礼包-主城14	主界面推		420	39.99	113		1			1	9608	2	14				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	14级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	420%	999	205			1				DK_img_Main_gift_bg_5						
10178		城建礼包-主城15	主界面推		435	49.99	116		1			1	9609	2	15				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	15级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	435%	999	205			1				DK_img_Main_gift_bg_5						
10179		城建礼包-主城16	主界面推		460	59.99	114		1			1	9610	2	16				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	16级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	460%	999	205			1				DK_img_Main_gift_bg_5						
10180		城建礼包-主城17	主界面推		465	59.99	114		1			1	9611	2	17				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	17级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	465%	999	205			1				DK_img_Main_gift_bg_5						
10181		城建礼包-主城18	主界面推		470	99.99	115		1			1	9612	2	18				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	18级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	470%	999	205			1				DK_img_Main_gift_bg_5						
10182		城建礼包-主城19	主界面推		520	99.99	115		1			1	9613	2	19				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	19级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	520%	999	205			1				DK_img_Main_gift_bg_5						
10183		城建礼包-主城20	主界面推		540	99.99	115		1			1	9614	2	20				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	20级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	540%	999	205			1				DK_img_Main_gift_bg_5						
10184		城建礼包-主城21	主界面推		540	99.99	115		1			1	9615	2	21				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	21级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	540%	999	205			1				DK_img_Main_gift_bg_5						
10185		城建礼包-主城22	主界面推		560	99.99	115		1			1	9616	2	22				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	22级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	560%	999	205			1				DK_img_Main_gift_bg_5						
10186		城建礼包-主城23	主界面推		580	99.99	115		1			1	9617	2	23				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	23级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	580%	999	205			1				DK_img_Main_gift_bg_5						
10187		城建礼包-主城24	主界面推		610	99.99	115		1			1	9618	2	24				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	24级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	610%	999	205			1				DK_img_Main_gift_bg_5						
10188		城建礼包-主城25	主界面推		650	99.99	115		1			1	9619	2	25				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	25级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	650%	999	205			1				DK_img_Main_gift_bg_5						
10189		城建礼包-主城26	主界面推		670	99.99	115		1			1	9620	2	26				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	26级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	670%	999	205			1				DK_img_Main_gift_bg_5						
10190		城建礼包-主城27	主界面推		720	99.99	115		1			1	9621	2	27				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	27级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	720%	999	205			1				DK_img_Main_gift_bg_5						
10191		城建礼包-主城28	主界面推		725	99.99	115		1			1	9622	2	28				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	28级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	725%	999	205			1				DK_img_Main_gift_bg_5						
10192		城建礼包-主城29	主界面推		780	99.99	115		1			1	9623	12	1026129				6003	1	1				DK_icon_hq_default	6003	DK_icon_hq_default	DK_img_gift_bg_46		DK_img_gift_bg_21	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	29级酒馆加速	为您准备好了酒馆升至下一级的资源，可以让您快人一步！	2	780%	999	205			1				DK_img_Main_gift_bg_5						
10194		船只经验-常规礼包4.99				4.99	105		15			1	8850					1	6001	0	1						DK_icon_ship_lv			DK_img_gift_bg_28	DK_img_gift_bg_8				船只经验	船只等级提升，可以让出征的部队更加强大！		240%	850	202													
10195		船只经验-常规礼包9.99				9.99	107		15			1	8851					1	6001	0	1						DK_icon_ship_lv			DK_img_gift_bg_28	DK_img_gift_bg_8				船只经验	船只等级提升，可以让出征的部队更加强大！		240%	849	203													
10196		船只经验-常规礼包19.99				19.99	111		15			1	8852					1	6001	0	1						DK_icon_ship_lv			DK_img_gift_bg_28	DK_img_gift_bg_8				船只经验	船只等级提升，可以让出征的部队更加强大！		300%	848	204													
10197		船只经验-常规礼包29.99				29.99	112		15			1	8853					1	6001	0	1						DK_icon_ship_lv			DK_img_gift_bg_28	DK_img_gift_bg_8				船只经验	船只等级提升，可以让出征的部队更加强大！		300%	847	204													
10198		船只经验-常规礼包49.99				49.99	116		15			1	8854					1	6001	0	1						DK_icon_ship_lv			DK_img_gift_bg_28	DK_img_gift_bg_8				船只经验	船只等级提升，可以让出征的部队更加强大！		300%	846	205													
10199		船只经验-常规礼包99.99				99.99	115		15			1	8855					1	6001	0	1						DK_icon_ship_lv			DK_img_gift_bg_28	DK_img_gift_bg_8				船只经验	船只等级提升，可以让出征的部队更加强大！		300%	845	205													
10201		英雄获得礼包-克里斯塔尔	主界面推	1天	限购1次	14.99	109		1			1	8501	9	1008			1	6003	1	1				DK_Img_C_H_8	6003	DK_Img_C_H_8		DK_Role_Spine_8	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	克里斯塔尔	来挑选一颗宝石，让它在你心中闪耀吧。	2	1000%	100	203		21000					DK_img_Main_gift_bg_1						
10202		英雄获得礼包-琥珀	主界面推	1天	限购1次	14.99	109		1			1	8502	9	1009			1	6003	1	1				DK_Img_C_H_9	6003	DK_Img_C_H_9		DK_Role_Spine_9	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	琥珀	让我用这炼金术，提炼出我们之间最纯粹的情感。	2	1000%	101	203		21001					DK_img_Main_gift_bg_1						
10203		英雄获得礼包-莎拉	主界面推	1天	限购1次	14.99	109		1			1	8503	9	1010			1	6003	1	1				DK_Img_C_H_10	6003	DK_Img_C_H_10		DK_Role_Spine_10	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	莎拉	想让我施展魔法，释放你内心最深处的欲望吗？	2	1000%	102	203		21002					DK_img_Main_gift_bg_1						
10205		英雄获得礼包-阿迪娜	主界面推	1天	限购1次	14.99	109		1			1	8505	9	1022			1	6003	1	1				DK_Img_C_H_22	6003	DK_Img_C_H_22		DK_Role_Spine_22	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿迪娜	想让我带你进入夜的世界，探索那最深处的秘密吗？	2	1000%	200	203		21004					DK_img_Main_gift_bg_1						
10206		英雄获得礼包-弗莱彻	主界面推	1天	限购1次	14.99	109		1			1	8506	9	1030			1	6003	1	1				DK_Img_C_H_30	6003	DK_Img_C_H_30		DK_Role_Spine_30	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	弗莱彻	你敢靠近我的红色斗篷，发现其中隐藏的秘密吗？	2	1000%	201	203		21005					DK_img_Main_gift_bg_1						
10207		英雄获得礼包-哈妮	主界面推	1天	限购1次	14.99	109		1			1	8507	9	1036			1	6003	1	1				DK_Img_C_H_36	6003	DK_Img_C_H_36		DK_Role_Spine_36	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	哈妮	愿意和我一起剥开坚果，分享那隐藏在壳中的美味秘密吗？	2	1000%	202	203		21006					DK_img_Main_gift_bg_1						
10208		英雄获得礼包-阿仕顿	主界面推	1天	限购1次	14.99	109		1			1	8508	9	1035			1	6003	1	1				DK_Img_C_H_35	6003	DK_Img_C_H_35		DK_Role_Spine_35	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	阿仕顿	我的剑为你而挥，我的心为你而动，愿意成为我唯一的骑士吗？	2	1000%	202	203		21007					DK_img_Main_gift_bg_1						
10209		英雄获得礼包-斯隆	主界面推	1天	限购1次	14.99	109		1			1	8509	9	1032			1	6003	1	1				DK_Img_C_H_32	6003	DK_Img_C_H_32		DK_Role_Spine_32	DK_img_gift_bg_12	DK_img_gift_bg_tc_6	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	斯隆	在我的舞台上，每一秒钟都为你而闪耀，想不想与我共舞直到黎明？	2	1000%	202	203		21008					DK_img_Main_gift_bg_1						
