cs	cs		c	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs							
1132	尼罗女王的邀请函		持有邀请函拜访拥有【金字塔之城】装扮的酒馆，可获得额外奖励！	9		0				100316		1								DK_icon_global_Egypt05			DK_Bg_CM_Item4					9999													
1133	争霸奖券		持有争霸奖券可在【争霸转盘】中参与抽奖，获取大奖！	9		0				100324										DK_icon_global_GVG03			DK_Bg_CM_Item4					9999													
1134	一封情书		折满期盼，封以低语——她一直在等你亲笔写下心意。可用于向赛米拉传递心意，换取她的回礼与青睐。	1		0			1	503|504|599|100328|100330|100332|100334|100335|100336										DK_icon_global_VD01			DK_Bg_CM_Item4					9999							500						
1135	玫瑰花瓣		不只是花瓣——这是被压成花朵形状的誓言。用于兑换婚礼庆典限定家具与珍稀养成资源。	1		0				100331										DK_icon_global_VD02			DK_Bg_CM_Item4					9999							50						
1136	神秘信封		开启后有20%的几率获得【一封情书 】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2058		503|504|599		1								DK_icon_global_VD03			DK_Bg_CM_Item4					9999													
1137	婚礼邀请函		持有邀请函拜访拥有【誓言之门】装扮的酒馆，可获得额外奖励！	9		0				100333		1								DK_icon_global_VD04			DK_Bg_CM_Item4					9999													
1138	祈愿红灯笼		一盏由女孩们手扎的红灯笼，内藏新春心愿。可在“剑舞迎春”抽奖池中许愿一次，召唤新春好运！	1		0			1	503|504|599|100341|100342|100345|100347|100348|100349										DK_icon_global_cny_01			DK_Bg_CM_Item4					9999							500						
1139	迎春福券		由金海商会发行的新春限定烫金福券，卷面绘有吉祥海兽图案。可在新春福铺活动中兑换新春好礼！	1		0				100344|100343										DK_icon_global_cny_02			DK_Bg_CM_Item4					9999							50						
1140	神秘福箱		开启后有20%的几率获得【祈愿红灯笼 】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2061		503|504|599		1								DK_icon_global_cny_03			DK_Bg_CM_Item4					9999													
1141	新春邀请函		持有邀请函拜访拥有【新春典藏】装扮的酒馆，可获得额外奖励！	9		0				100346		1								DK_icon_global_cny_04			DK_Bg_CM_Item4					9999													
1142	驯养经验		驯养海妖所需的经验，用于提升海妖等级	1		0			1	218|705|303|503|597|405|516										DK_img_item_SirenExp			DK_Bg_CM_Item0					100							0.03						
1143	渊海秘币		海妖用来在深海交换珍宝的古老货币。将它投入海妖转盘，倾听齿轮转动时传来的悠远歌声吧。	1		0			1	100351										DK_icon_item_SirenWheel			DK_Bg_CM_Item4					9999							1000						
1144	渊虹咒缚		由深海陨铁锻造的暗黑指环，流转着七彩霓虹般的禁忌符文，可强行囚禁海妖的灵魂与躯体，剥夺其自由意志，将其彻底化为供您驱使的绝对奴仆！获取后可解锁传奇海妖-提亚马特！	9		1	30	40011002	1											DK_icon_item_SirenUnlock			DK_Bg_CM_Item4					9999							50000						
1501	回声锚	【魔海回声】影响力道具	唯有抛下回声锚，船只才能在幻象之海中找到真实的立足点。	9		2	23	645	1	641|790	完成每日航迹任务可获得									DK_icon_global_research_2			DK_Bg_CM_Item3					999				300									
1502	领主粮秣		公会的军粮补给，R5/R4可以消耗该资源，触发联盟技能	2		0			1		通过公会捐献获得									DK_icon_global_earsofwheat	DK_img_icon_earsofwheat		DK_Bg_CM_Item0					100													
1600	探索券		消耗探索券，可在【急速追击】中快速找到大盗位置	9		0			1	874										DK_icon_global_call_01	DK_icon_global_call_01		DK_Bg_CM_Item0					100													
1700	金砖	代币货币	金砖是酒馆传奇游戏内发行的货币，可以替代现金用于购买游戏中除金砖外的所有可充值或购买的增值服务内容。	1		0			1											DK_icon_global_goldbrick	DK_img_cm_icon_goldbrick		DK_Bg_CM_Item4					100							5						
2001	厨师台		升级了酒馆的厨师台，可同时制作的商品数量+1	9		1	1	11004,1	1	520|511	达到指定的VIP等级可获得									DK_icon_global_craft			DK_Bg_CM_Item4					999													
2011	舰船		增加一艘可用于战斗和采集的舰船	9		1	1	11005,1	1	510|521|522	通过图书馆研究可获得									DK_icon_global_quest			DK_Bg_CM_Item4					999													
2021	10 Vip点数		使用后可获得：10 VIP点数	9		1	2	1101		204										DK_Icon_vip_exp			DK_Bg_CM_Item2	10				999							20						
2022	100 VIP点数		使用后可获得：100 VIP点数	9		1	2	1102		205|404|509|510|511|512|513|514|515										DK_Icon_vip_exp			DK_Bg_CM_Item2	100				998							200						
2023	1K VIP点数		使用后可获得：1,000 VIP点数	9		1	2	1103		206										DK_Icon_vip_exp			DK_Bg_CM_Item3	1k				997							2000						
2024	10K VIP点数		使用后可获得：10,000 VIP点数	9		1	2	1104		207										DK_Icon_vip_exp			DK_Bg_CM_Item4	10k				996							20000						
2031	24小时VIP时间		使用后可获得：24小时VIP时间	9		3	8	86400		208										DK_Icon_vip_time			DK_Bg_CM_Item2	24h				995							1000						
2032	7天VIP时间		使用后可获得：7天VIP时间	9		3	8	604800		209										DK_Icon_vip_time			DK_Bg_CM_Item3	7d				994							3000						
2033	30天VIP时间		使用后可获得：30天VIP时间	9		3	8	2592000		210										DK_Icon_vip_time			DK_Bg_CM_Item4	30d				993							10000						
2034	3天VIP时间		使用后可获得：3天VIP时间	9		1	8	259200												DK_Icon_vip_time			DK_Bg_CM_Item2	3d				992													
2041	建造队列		可同时对2个建筑进行升级	9		1	1	11011,1	1	509										DK_icon_ship_repair			DK_Bg_CM_Item4					999													
2051	订单		订单数上限+1，可以安排更多订单	9		1	1	11034,1	1	520										DK_icon_order_form			DK_Bg_CM_Item4					999													
2061	酒馆容量		酒馆的容量+1，可以在酒馆中放置更多资源篮子。	9		1	1	11001,1	1	730										DK_icon_global_Increasedspace			DK_Bg_CM_Item4					999													
2062	护送次数	运输船实现护送次数增加，界面跳转的假道具		9		0			1	634	通过回声科技可获得									DK_icon_time1			DK_Bg_CM_Item4					1													
2063	劫掠次数	运输船实现劫掠次数增加，界面跳转的假道具		9		0			1	635	通过回声科技可获得									DK_icon_time2			DK_Bg_CM_Item4					1													
2064	储物箱容量	假道具		99						100197|100198	提升仓库建筑的等级									DK_img_Main_icon_4			DK_Bg_CM_Item0					100													
2065	传说折扣券（-10%）		可在《往昔盛典》活动中使用，购买传说商品时可获得折扣：10%OFF	6		0	27	90	1		在节庆活动中获得	1								DK_icon_global_Voucher_gold1			DK_Bg_CM_Item4	-10%				9999					14d								
2066	传说折扣券（-20%）		可在《往昔盛典》活动中使用，购买传说商品时可获得折扣：20%OFF	6		0	27	80	1	100314	在节庆活动中获得	1								DK_icon_global_Voucher_gold2			DK_Bg_CM_Item4	-20%				9999					14d								
2067	传说折扣券（-30%）		可在《往昔盛典》活动中使用，购买传说商品时可获得折扣：30%OFF	6		0	27	70	1	100314	在节庆活动中获得	1								DK_icon_global_Voucher_gold3			DK_Bg_CM_Item4	-30%				9999					14d								
2068	传说折扣券（-50%）		可在《往昔盛典》活动中使用，购买传说商品时可获得折扣：50%OFF	6		0	27	50	1	100314	在节庆活动中获得	1								DK_icon_global_Voucher_gold5			DK_Bg_CM_Item4	-50%				9999					14d								
2069	传说折扣券（-70%）		可在《往昔盛典》活动中使用，购买传说商品时可获得折扣：70%OFF	6		0	27	30	1		在节庆活动中获得	1								DK_icon_global_Voucher_gold7			DK_Bg_CM_Item4	-70%				9999					14d								
2070	传说折扣券（-90%）		可在《往昔盛典》活动中使用，购买传说商品时可获得折扣：90%OFF	6		0	27	10	1		在节庆活动中获得	1								DK_icon_global_Voucher_gold9			DK_Bg_CM_Item4	-90%				9999					14d								
2071	折扣券（-10%）		可在《往昔盛典》活动中使用，购买非传说商品时可获得折扣：10%OFF	6		0	27	90	1		在节庆活动中获得	1								DK_icon_global_Voucher_silver1			DK_Bg_CM_Item4	-10%				9999					14d								
2072	折扣券（-20%）		可在《往昔盛典》活动中使用，购买非传说商品时可获得折扣：20%OFF	6		0	27	80	1	100314	在节庆活动中获得	1								DK_icon_global_Voucher_silver2			DK_Bg_CM_Item4	-20%				9999					14d								
2073	折扣券（-30%）		可在《往昔盛典》活动中使用，购买非传说商品时可获得折扣：30%OFF	6		0	27	70	1	100314	在节庆活动中获得	1								DK_icon_global_Voucher_silver3			DK_Bg_CM_Item4	-30%				9999					14d								
2074	折扣券（-50%）		可在《往昔盛典》活动中使用，购买非传说商品时可获得折扣：50%OFF	6		0	27	50	1	100314	在节庆活动中获得	1								DK_icon_global_Voucher_silver5			DK_Bg_CM_Item4	-50%				9999					14d								
2075	折扣券（-70%）		可在《往昔盛典》活动中使用，购买非传说商品时可获得折扣：70%OFF	6		0	27	30	1		在节庆活动中获得	1								DK_icon_global_Voucher_silver7			DK_Bg_CM_Item4	-70%				9999					14d								
2076	折扣券（-90%）		可在《往昔盛典》活动中使用，购买非传说商品时可获得折扣：90%OFF	6		0	27	10	1		在节庆活动中获得	1								DK_icon_global_Voucher_silver9			DK_Bg_CM_Item4	-90%				9999					14d								
2077	随机传说折扣券		使用后，可随机获得以下几件折扣券中的一张。	9		3	2	2057				1								DK_icon_global_Voucher_random			DK_Bg_CM_Item4					9999													
2079	随机折扣券		使用后，可随机获得以下几件折扣券中的一张。	9		3	2	2060				1								DK_icon_global_Voucher_random			DK_Bg_CM_Item4					9999													
2078	传奇契约船		这是与巨人立下的盟约之舟。可容纳更多的船员数量以及拥有更大的载重	9		1	29		1	872		0								DK_img_Main_icon_world_2			DK_img_cm_bg_iconkuang_dragon_new					999													
3001	小麦	铁矿		3		0						0	100							DK_iron			DK_Bg_CM_Item2		1	1401001		100													
3002	香草	木头		3		0						0	100							DK_wood			DK_Bg_CM_Item2		1	1402001		100													
3003	肉	皮革		3		0						0	100							DK_leather			DK_Bg_CM_Item2		1	1403001		100													
3004	水果	草药		3		0						0	100							DK_herbs			DK_Bg_CM_Item2		1	1404001		100													
3005	坚果	钢		3		0						0	400							DK_steel			DK_Bg_CM_Item3		4	1405001		100													
3006	香料	硬木		3		0						0	400							DK_ironwood			DK_Bg_CM_Item3		4	1406001		100													
3007	油	布料		3		0						0	400							DK_fabric			DK_Bg_CM_Item3		4	1407001		100													
3008	糖	油		3		0						0	400							DK_oil			DK_Bg_CM_Item3		4	1408001		100													
3009	精粹	珠宝		3		0						0	2000							DK_gems			DK_Bg_CM_Item4		20	1409001		100													
3010	秘药	以太		3		0						0	2000							DK_mana			DK_Bg_CM_Item4		20	1410001		100													
3101	基础资源袋		可随机获得适量的小麦、香草、肉或水果	9		3	2	601				0								DK_icon_resource_1			DK_Bg_CM_Item1					899													
3102	中级资源袋		可随机获得适量的坚果、香料、油或糖	9		3	2	602				0								DK_icon_resource_2			DK_Bg_CM_Item2					898													
3103	高级资源箱		可随机获得适量的精粹或秘药	9		3	2	603				0								DK_icon_resource_3			DK_Bg_CM_Item3					897													
4001	脆珊瑚	精灵木	一种罕见且美丽的材料，形状独特，色彩鲜艳。收集和运输需要格外小心。	4		0				406|501|601|763		1	100	1						DK_icon_material_1			DK_Bg_CM_Item0				100	900	26	50	52										
4002	大白虾	钢铁松果	体型庞大，色泽明亮。丰富的口感是其独有的特质	4		0				406|501|602|764		1	110	1						DK_icon_material_2			DK_Bg_CM_Item0				110	901	26	50	52										
4003	甜甜贝	发光蘑菇	沁人心脾的甜味，搭配鲜艳的外观，让人回味无穷。	4		0				406|501|603|765		1	120	1						DK_icon_material_3			DK_Bg_CM_Item0				120	902	26	50	52										
4004	林鸟蛋	银粉	来自林鸟的珍贵礼物，光滑的表面，孕育着无尽的可能。	4		0				406|501|604|766		1	400	2						DK_icon_material_4			DK_Bg_CM_Item0				400	903	39	150	78										
4005	水妖果	蹼翼	神秘莫测的果实，饱含水元素的精华，带有深邃的海洋之味。	4		0				406|501|605|767		1	450	2						DK_icon_material_5			DK_Bg_CM_Item0				450	904	39	150	78										
4006	芥末菇	珍贵宝石	这种独特菌类带有轻微的芥末味，同时兼具了草本植物的新鲜和清甜。	4		0				406|501|606|768		1	500	2						DK_icon_material_6			DK_Bg_CM_Item0				500	905	39	150	78										
4007	岩盘鱼	活根	古老的生物，身躯硬如岩石，但肉质细腻，风味独特。	4		0				406|501|607		1	900	3						DK_icon_material_7			DK_Bg_CM_Item0				900	906	59	250	118										
4008	烫嘴浆果	锈龙鳞	这种浆果爆满汁液，口感鲜美。不过要小心，它的热辣滋味可能会让你的舌头烫个不停！	4		0				406|501|608		1	1000	3						DK_icon_material_8			DK_Bg_CM_Item0				1000	907	59	250	118										
4009	炫彩岩盐	深泽珍珠	自然研磨出的颜色斑斓的岩盐，不仅增添风味，更带来视觉的享受。	4		0				406|501|609		1	1150	3						DK_icon_material_9			DK_Bg_CM_Item0				1150	908	59	250	118										
4010	花壁虎尾	白砂	拥有多彩的条纹，充满了神秘和魅力。	4		0				406|501|610		1	2000	4						DK_icon_material_10			DK_Bg_CM_Item0				2000	909	98	400	196										
4011	冰枝	青铜尖牙	这是一种寒冷的触感，象征着冬天的材料，它闪耀着冰之光芒，独具魅力。	4		0				406|501|611		1	2250	4						DK_icon_material_11			DK_Bg_CM_Item0				2250	910	98	400	196										
4012	果冻石	月亮水晶	这种独特的物品拥有果冻般的质地，宝石般的光泽，引人注目。	4		0				406|501|612		1	2500	4						DK_icon_material_12			DK_Bg_CM_Item0				2500	911	98	400	196										
4013	高速海马	搞怪之眼	行动灵敏的小家伙，可以在漩涡中逆行	4		0				406|613		1	5000	5						DK_icon_material_13			DK_Bg_CM_Item0				5000	912	195	750	390										
4014	飞空钻	丝绸圣甲虫	可以跳出海面飞行的小东西，是一种鱼	4		0				406|614		1	5500	5						DK_icon_material_14			DK_Bg_CM_Item0				5500	913	195	750	390										
4015	钻石海星	异星金属	在大漩涡中承受无数碰撞和打磨而成的坚硬身体	4		0				406|615		1	6000	5						DK_icon_material_15			DK_Bg_CM_Item0				6000	914	195	750	390										
4016	黄金扇贝	古代大理石	是镀金，味道还很好吃	4		0				406|616		1	8000	6						DK_icon_material_16			DK_Bg_CM_Item0				8000	915	293	1150	586										
